candidate_id,rank,score,reasoning
CAND_0046132,1,1.0286,AI Research Engineer with 4.3 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 94%) and active on platform.
CAND_0068932,2,1.0209,ML Engineer with 5.2 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 82%) and active on platform.
CAND_0054546,3,0.9403,AI Research Engineer with 4.9 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 92%) and active on platform.
CAND_0008295,4,0.9245,AI Research Engineer with 6.5 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 89%) and active on platform.
CAND_0053605,5,0.9218,Senior Software Engineer (ML) with 6.9 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 88%) and active on platform.
CAND_0091534,6,0.9218,AI Engineer with 16.6 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 84%) and active on platform.
CAND_0019845,7,0.9105,AI Specialist with 3.4 years experience. Exceptional semantic match with production AI requirements. 
CAND_0035879,8,0.9086,AI Research Engineer with 4.5 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 82%) and active on platform.
CAND_0043381,9,0.9068,AI Research Engineer with 3.6 years experience. Exceptional semantic match with production AI requirements. Marked as Open to Work; good availability.
CAND_0004402,10,0.9006,AI Research Engineer with 6.0 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 83%) and active on platform.
CAND_0050454,11,0.8971,AI Engineer with 6.8 years experience. Exceptional semantic match with production AI requirements. Marked as Open to Work; good availability.
CAND_0043676,12,0.8961,Senior Software Engineer (ML) with 6.1 years experience. Exceptional semantic match with production AI requirements. Marked as Open to Work; good availability.
CAND_0066690,13,0.8882,ML Engineer with 4.8 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 88%) and active on platform.
CAND_0011327,14,0.8877,AI Research Engineer with 6.3 years experience. Exceptional semantic match with production AI requirements. Marked as Open to Work; good availability.
CAND_0043637,15,0.8873,Junior ML Engineer with 5.5 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 92%) and active on platform.
CAND_0016432,16,0.8842,AI Research Engineer with 4.6 years experience. Exceptional semantic match with production AI requirements. 
CAND_0034169,17,0.8839,AI Research Engineer with 3.4 years experience. Exceptional semantic match with production AI requirements. 
CAND_0018888,18,0.8801,AI Research Engineer with 6.5 years experience. Exceptional semantic match with production AI requirements. 
CAND_0046525,19,0.8799,Senior Machine Learning Engineer with 6.1 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 88%) and active on platform.
CAND_0033179,20,0.879,AI Research Engineer with 6.9 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 84%) and active on platform.
CAND_0075481,21,0.8789,AI Research Engineer with 3.9 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 88%) and active on platform.
CAND_0007596,22,0.8782,Junior ML Engineer with 4.4 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 86%) and active on platform.
CAND_0067866,23,0.8766,Senior Software Engineer (ML) with 6.4 years experience. Exceptional semantic match with production AI requirements. Marked as Open to Work; good availability.
CAND_0064326,24,0.873,Search Engineer with 7.6 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 94%) and active on platform.
CAND_0054123,25,0.8709,Applied ML Engineer with 4.7 years experience. Exceptional semantic match with production AI requirements. Highly responsive (RR: 87%) and active on platform.
CAND_0045250,26,0.8675,Applied ML Engineer with 6.6 years experience. Exceptional semantic match with production AI requirements. 
